epoch,train_loss,val_loss,val_auc
1,0.9141120463609695,2.382284641265869,0.7736625514403291
2,0.5867342501878738,2.4952545166015625,0.6707818930041153
3,0.6250111162662506,2.366365075111389,0.6502057613168725
4,0.6111015230417252,2.935688853263855,0.6748971193415637
5,0.6585565904776255,2.7505152225494385,0.7037037037037036
6,0.5160737087329229,2.438247561454773,0.7242798353909464
7,0.5645314380526543,1.9883289337158203,0.7654320987654321
8,0.4232306107878685,1.5774688720703125,0.8065843621399177
9,0.5243619556228319,1.2808347940444946,0.8436213991769548
10,0.5156769802172979,1.0451409220695496,0.8477366255144032
